"Gene","Accession","HGNC"
"Sigirr","ENSMUSG00000025494","SIGIRR"
"Ano9","ENSMUSG00000054662","ANO9"
"Rnh1","ENSMUSG00000038650","RNH1"
"Hras","ENSMUSG00000025499","HRAS"
"Lmntd2","ENSMUSG00000025500","LMNTD2"
"Irf7","ENSMUSG00000025498","IRF7"
"Sct","ENSMUSG00000038580","SCT"
"Deaf1","ENSMUSG00000058886","DEAF1"
"Gatd1","ENSMUSG00000051007","GATD1"
"Cend1","ENSMUSG00000060240","CEND1"
"Slc25a22","ENSMUSG00000019082","SLC25A22"
"Pidd1","ENSMUSG00000025507","PIDD1"
"Gm10575","ENSMUSG00000073787","Gm10575"
"Polr2l","ENSMUSG00000038489","POLR2L"
"Chid1","ENSMUSG00000025512","CHID1"
"Gm16982","ENSMUSG00000097170","Gm16982"
"Muc6","ENSMUSG00000048191","MUC6"
"Tollip","ENSMUSG00000025139","TOLLIP"
"Gm20501","ENSMUSG00000092536","Gm20501"
"Mob2","ENSMUSG00000025147","MOB2"
"Dusp8","ENSMUSG00000037887","DUSP8"
"Ifitm10","ENSMUSG00000045777","IFITM10"
"Ctsd","ENSMUSG00000007891","CTSD"
"Prr33","ENSMUSG00000043795","PRR33"
"H19","ENSMUSG00000000031","H19"
"Igf2","ENSMUSG00000048583","IGF2"
"Ascl2","ENSMUSG00000009248","ASCL2"
"Tspan32os","ENSMUSG00000052281","Tspan32os"
"R74862","ENSMUSG00000059277","R74862"
"Kcnq1ot1","ENSMUSG00000101609","Kcnq1ot1"
"Cdkn1c","ENSMUSG00000037664","CDKN1C"
"Phlda2","ENSMUSG00000010760","PHLDA2"
"Nap1l4","ENSMUSG00000059119","NAP1L4"
"Cars","ENSMUSG00000010755","CARS1"
"Tnfrsf26","ENSMUSG00000045362","TNFRSF10B"
"Tnfrsf22","ENSMUSG00000010751","Tnfrsf22"
"Tnfrsf23","ENSMUSG00000037613","Tnfrsf23"
"Osbpl5","ENSMUSG00000037606","OSBPL5"
"Mrgpre","ENSMUSG00000048965","MRGPRE"
"Nadsyn1","ENSMUSG00000031090","NADSYN1"
"Cttn","ENSMUSG00000031078","CTTN"
"Ppfia1","ENSMUSG00000037519","PPFIA1"
"Fadd","ENSMUSG00000031077","FADD"
"Ano1","ENSMUSG00000031075","ANO1"
"Gm26793","ENSMUSG00000096999","Gm26793"
"Ccnd1","ENSMUSG00000070348","CCND1"
"Tpcn2","ENSMUSG00000048677","TPCN2"
"Myadm","ENSMUSG00000068566","MYADM"
"Prkcg","ENSMUSG00000078816","PRKCG"
"Cacng7","ENSMUSG00000069806","CACNG7"
"Cacng8","ENSMUSG00000053395","CACNG8"
"Cacng6","ENSMUSG00000078815","CACNG6"
"Ndufa3","ENSMUSG00000035674","NDUFA3"
"Prpf31","ENSMUSG00000008373","PRPF31"
"Cnot3","ENSMUSG00000035632","CNOT3"
"Gm15929","ENSMUSG00000086032","Gm15929"
"Tsen34","ENSMUSG00000035585","TSEN34"
"Rps9","ENSMUSG00000006333","RPS9"
"Ttyh1","ENSMUSG00000030428","TTYH1"
"Leng8","ENSMUSG00000035545","LENG8"
"Lilra5","ENSMUSG00000070873","LILRB4"
"Eps8l1","ENSMUSG00000006154","EPS8L1"
"Gm15873","ENSMUSG00000085725","Gm15873"
"Gm44877","ENSMUSG00000108320","Gm44877"
"Brsk1","ENSMUSG00000035390","BRSK1"
"Kmt5c","ENSMUSG00000059851","KMT5C"
"Tmem190","ENSMUSG00000013091","TMEM190"
"Rpl28","ENSMUSG00000030432","RPL28"
"Isoc2a","ENSMUSG00000086784","ISOC2"
"Zfp628","ENSMUSG00000074406","ZNF628"
"Nat14","ENSMUSG00000035285","NAT14"
"Ssc5d","ENSMUSG00000035279","SSC5D"
"Zfp524","ENSMUSG00000051184","ZNF524"
"Zfp865","ENSMUSG00000074405","ZNF865"
"Ccdc106","ENSMUSG00000035228","CCDC106"
"Zfp580","ENSMUSG00000055633","ZNF580"
"U2af2","ENSMUSG00000030435","U2AF2"
"Epn1","ENSMUSG00000035203","EPN1"
"Gm36371","ENSMUSG00000109108","Gm36371"
"Zfp444","ENSMUSG00000044876","ZNF444"
"Zfp667","ENSMUSG00000054893","ZNF667"
"Gm3854","ENSMUSG00000109398","ZNF582"
"Zfp78","ENSMUSG00000055150","ZNF337"
"Zfp28","ENSMUSG00000062861","ZFP28"
"Smim17","ENSMUSG00000093536","SMIM17"
"Olfr1344","ENSMUSG00000090824","Olfr1344"
"Usp29","ENSMUSG00000051527","USP29"
"Zfp418","ENSMUSG00000034538","Zfp418"
"Zfp606","ENSMUSG00000030386","ZNF606"
"Zfp110","ENSMUSG00000058638","ZNF274"
"Zfp128","ENSMUSG00000060397","ZNF8"
"Zscan22","ENSMUSG00000054715","ZSCAN22"
"Rps5","ENSMUSG00000012848","RPS5"
"Rnf225","ENSMUSG00000033967","RNF225"
"Zfp324","ENSMUSG00000004500","ZNF324B"
"Zfp446","ENSMUSG00000033961","ZNF446"
"Trim28","ENSMUSG00000005566","TRIM28"
"Vmn1r88","ENSMUSG00000117853","Vmn1r88"
"Lig1","ENSMUSG00000056394","LIG1"
"Pla2g4c","ENSMUSG00000033847","PLA2G4C"
"Napa","ENSMUSG00000006024","NAPA"
"Kptn","ENSMUSG00000006021","KPTN"
"Slc8a2","ENSMUSG00000030376","SLC8A2"
"Meis3","ENSMUSG00000041420","MEIS3"
"Bbc3","ENSMUSG00000002083","BBC3"
"Zc3h4","ENSMUSG00000059273","ZC3H4"
"Tmem160","ENSMUSG00000019158","TMEM160"
"Ap2s1","ENSMUSG00000008036","AP2S1"
"Slc1a5","ENSMUSG00000001918","SLC1A5"
"Strn4","ENSMUSG00000030374","STRN4"
"Prkd2","ENSMUSG00000041187","PRKD2"
"Dact3","ENSMUSG00000078794","DACT3"
"Gng8","ENSMUSG00000063594","GNG8"
"Ptgir","ENSMUSG00000043017","PTGIR"
"Pnmal2","ENSMUSG00000070802","PNMA8B"
"Pnmal1","ENSMUSG00000041141","PNMA8A"
"Gm42372","ENSMUSG00000108348","PNMA8C"
"Ccdc8","ENSMUSG00000041117","CCDC8"
"Mill2","ENSMUSG00000040987","MICB"
"Pglyrp1","ENSMUSG00000030413","PGLYRP1"
"Nova2","ENSMUSG00000030411","NOVA2"
"Mypop","ENSMUSG00000048481","MYPOP"
"Irf2bp1","ENSMUSG00000044030","IRF2BP1"
"Sympk","ENSMUSG00000023118","SYMPK"
"Rsph6a","ENSMUSG00000040866","RSPH6A"
"Dmwd","ENSMUSG00000030410","DMWD"
"Dmpk","ENSMUSG00000030409","DMPK"
"Six5","ENSMUSG00000040841","SIX5"
"Fbxo46","ENSMUSG00000050428","FBXO46"
"Snrpd2","ENSMUSG00000040824","SNRPD2"
"Eml2","ENSMUSG00000040811","EML2"
"Gpr4","ENSMUSG00000044317","GPR4"
"Opa3","ENSMUSG00000052214","OPA3"
"1700058P15Rik","ENSMUSG00000089636","1700058P15Rik"
"Rtn2","ENSMUSG00000030401","RTN2"
"Gm44698","ENSMUSG00000109366","Gm44698"
"Ercc1","ENSMUSG00000003549","ERCC1"
"Ppp1r13l","ENSMUSG00000040734","PPP1R13L"
"Ercc2","ENSMUSG00000030400","ERCC2"
"Ckm","ENSMUSG00000030399","CKM"
"Exoc3l2","ENSMUSG00000011263","EXOC3L2"
"Trappc6a","ENSMUSG00000002043","TRAPPC6A"
"Nkpd1","ENSMUSG00000060621","NKPD1"
"Zfp296","ENSMUSG00000011267","ZNF296"
"Gm20512","ENSMUSG00000092381","Gm20512"
"Gm16174","ENSMUSG00000087593","Gm16174"
"Gm44658","ENSMUSG00000109424","Gm44658"
"Gm19345","ENSMUSG00000092216","Gm19345"
"Gm16251","ENSMUSG00000090075","Gm16251"
"Ceacam20","ENSMUSG00000070777","CEACAM20"
"Zfp180","ENSMUSG00000057101","ZNF180"
"Zfp112","ENSMUSG00000052675","ZNF112"
"Zfp235","ENSMUSG00000047603","Zfp235"
"Zfp114","ENSMUSG00000068962","Zfp114"
"Zfp108","ENSMUSG00000030486","ZNF233"
"Zfp93","ENSMUSG00000055305","Zfp93"
"AC159140.1","ENSMUSG00000118444","AC159140.1"
"Kcnn4","ENSMUSG00000054342","KCNN4"
"Smg9","ENSMUSG00000002210","SMG9"
"Plaur","ENSMUSG00000046223","PLAUR"
"Cadm4","ENSMUSG00000054793","CADM4"
"Zfp428","ENSMUSG00000064264","ZNF428"
"Irgq","ENSMUSG00000041037","IRGQ"
"Xrcc1","ENSMUSG00000051768","XRCC1"
"Ethe1","ENSMUSG00000064254","ETHE1"
"Phldb3","ENSMUSG00000074277","PHLDB3"
"Ceacam10","ENSMUSG00000054169","Ceacam10"
"Gm5893","ENSMUSG00000011350","Gm5893"
"Gm9844","ENSMUSG00000091955","TMSB10"
"Rps19","ENSMUSG00000040952","RPS19"
"Cd79a","ENSMUSG00000003379","CD79A"
"Arhgef1","ENSMUSG00000040940","ARHGEF1"
"Zfp574","ENSMUSG00000045252","ZNF574"
"D930028M14Rik","ENSMUSG00000074274","D930028M14Rik"
"4933430L12Rik","ENSMUSG00000108523","4933430L12Rik"
"Zfp526","ENSMUSG00000046541","ZNF526"
"9130221H12Rik","ENSMUSG00000090330","9130221H12Rik"
"Cic","ENSMUSG00000005442","CIC"
"Prr19","ENSMUSG00000058741","PRR19"
"Tmem145","ENSMUSG00000043843","TMEM145"
"Megf8","ENSMUSG00000045039","MEGF8"
"4732471J01Rik","ENSMUSG00000053714","4732471J01Rik"
"Dmac2","ENSMUSG00000057229","DMAC2"
"B3gnt8","ENSMUSG00000059479","B3GNT8"
"Exosc5","ENSMUSG00000061286","EXOSC5"
"B9d2","ENSMUSG00000063439","B9D2"
"Tgfb1","ENSMUSG00000002603","TGFB1"
"Gm26707","ENSMUSG00000097017","Gm26707"
"Gm30146","ENSMUSG00000108415","Gm30146"
"Cyp2b10","ENSMUSG00000030483","Cyp2b10"
"Cyp2f2","ENSMUSG00000052974","CYP2F1"
"BC024978","ENSMUSG00000078786","C19orf54"
"Coq8b","ENSMUSG00000003762","COQ8B"
"Numbl","ENSMUSG00000063160","NUMBL"
"Blvrb","ENSMUSG00000040466","BLVRB"
"Sertad3","ENSMUSG00000055200","SERTAD3"
"Sertad1","ENSMUSG00000008384","SERTAD1"
"Prx","ENSMUSG00000053198","PRX"
"Hipk4","ENSMUSG00000040424","HIPK4"
"2310022A10Rik","ENSMUSG00000049643","C19orf47"
"Akt2","ENSMUSG00000004056","AKT2"
"Ttc9b","ENSMUSG00000007944","TTC9B"
"Zfp607b","ENSMUSG00000057093","Zfp607b"
"Zfp60","ENSMUSG00000037640","Zfp60"
"Zfp626","ENSMUSG00000030604","Zfp626"
"Zfp59","ENSMUSG00000078779","Zfp59"
"Zfp607a","ENSMUSG00000020420","Zfp607a"
"9530053A07Rik","ENSMUSG00000078776","9530053A07Rik"
"Fbl","ENSMUSG00000046865","FBL"
"Dyrk1b","ENSMUSG00000002409","DYRK1B"
"Eid2","ENSMUSG00000046058","EID2"
"Eid2b","ENSMUSG00000070705","EID2B"
"Gm44709","ENSMUSG00000109168","Gm44709"
"Rps16","ENSMUSG00000037563","RPS16"
"Gm44710","ENSMUSG00000109455","Gm44710"
"Paf1","ENSMUSG00000003437","PAF1"
"Gmfg","ENSMUSG00000060791","GMFG"
"Lrfn1","ENSMUSG00000030600","LRFN1"
"Gm44618","ENSMUSG00000108905","Gm44618"
"Fbxo27","ENSMUSG00000037463","FBXO27"
"Fbxo17","ENSMUSG00000030598","FBXO17"
"Sars2","ENSMUSG00000070699","SARS2"
"Ccer2","ENSMUSG00000096257","CCER2"
"Sirt2","ENSMUSG00000015149","SIRT2"
"Rinl","ENSMUSG00000051735","RINL"
"Hnrnpl","ENSMUSG00000015165","HNRNPL"
"Ech1","ENSMUSG00000053898","ECH1"
"Lgals4","ENSMUSG00000053964","LGALS4"
"Lgals7","ENSMUSG00000053522","LGALS7B"
"Capn12","ENSMUSG00000054083","CAPN12"
"Map4k1","ENSMUSG00000037337","MAP4K1"
"Rasgrp4","ENSMUSG00000030589","RASGRP4"
"1110035H17Rik","ENSMUSG00000099098","1110035H17Rik"
"Ggn","ENSMUSG00000031493","GGN"
"Yif1b","ENSMUSG00000030588","YIF1B"
"Ppp1r14a","ENSMUSG00000037166","PPP1R14A"
"Dpf1","ENSMUSG00000030584","DPF1"
"Zfp84","ENSMUSG00000046185","ZNF781"
"Zfp30","ENSMUSG00000047473","ZFP30"
"Zfp790","ENSMUSG00000011427","Zfp790"
"Zfp420","ENSMUSG00000058402","Zfp420"
"Zfp383","ENSMUSG00000099689","ZNF383"
"Zfp568","ENSMUSG00000074221","Zfp568"
"Zfp260","ENSMUSG00000049421","ZNF260"
"Zfp382","ENSMUSG00000074220","ZNF382"
"Cox7a1","ENSMUSG00000074218","COX7A1"
"Gm26810","ENSMUSG00000097817","Gm26810"
"Polr2i","ENSMUSG00000019738","POLR2I"
"Thap8","ENSMUSG00000013928","Thap8"
"Clip3","ENSMUSG00000013921","CLIP3"
"Alkbh6","ENSMUSG00000042831","ALKBH6"
"Syne4","ENSMUSG00000019737","SYNE4"
"E130208F15Rik","ENSMUSG00000074210","E130208F15Rik"
"Tyrobp","ENSMUSG00000030579","TYROBP"
"Nfkbid","ENSMUSG00000036931","NFKBID"
"Hspb6","ENSMUSG00000036854","HSPB6"
"U2af1l4","ENSMUSG00000078765","U2AF1L4"
"Igflr1","ENSMUSG00000036826","IGFLR1"
"2200002J24Rik","ENSMUSG00000013083","2200002J24Rik"
"Atp4a","ENSMUSG00000005553","ATP4A"
"Tmem147os","ENSMUSG00000097320","Tmem147os"
"Gm26935","ENSMUSG00000098146","Gm26935"
"Sbsn","ENSMUSG00000046056","SBSN"
"Dmkn","ENSMUSG00000060962","DMKN"
"Krtdap","ENSMUSG00000074199","KRTDAP"
"D7Ertd128e","ENSMUSG00000100029","D7Ertd128e"
"Gm17077","ENSMUSG00000090357","Gm17077"
"Gm4673","ENSMUSG00000097750","Gm4673"
"Fam187b","ENSMUSG00000046826","FAM187B"
"Lgi4","ENSMUSG00000036560","LGI4"
"G630030J09Rik","ENSMUSG00000097149","G630030J09Rik"
"Gm10640","ENSMUSG00000100985","Gm10640"
"Gm12758","ENSMUSG00000085105","Gm12758"
"Gm12764","ENSMUSG00000086184","Gm12764"
"Gm12781","ENSMUSG00000085923","Gm12781"
"Pepd","ENSMUSG00000063931","PEPD"
"Gm35611","ENSMUSG00000108657","Gm35611"
"Cebpa","ENSMUSG00000034957","CEBPA"
"Slc7a10","ENSMUSG00000030495","SLC7A10"
"Rhpn2","ENSMUSG00000030494","RHPN2"
"Cep89","ENSMUSG00000023072","CEP89"
"B230322F03Rik","ENSMUSG00000097509","B230322F03Rik"
"Ankrd27","ENSMUSG00000034867","ANKRD27"
"E130304I02Rik","ENSMUSG00000044997","E130304I02Rik"
"Tshz3","ENSMUSG00000021217","TSHZ3"
"1600014C10Rik","ENSMUSG00000054676","C19orf12"
"Zfp619","ENSMUSG00000068959","Zfp619"
"Gm37494","ENSMUSG00000108621","Gm37494"
"Vstm2b","ENSMUSG00000039257","VSTM2B"
"Gm17102","ENSMUSG00000091864","Gm17102"
"2610021A01Rik","ENSMUSG00000091474","2610021A01Rik"
"Zfp788","ENSMUSG00000074165","Zfp788"
"Zfp936","ENSMUSG00000064194","Zfp936"
"Siglecf","ENSMUSG00000039013","SIGLEC6"
"Siglecg","ENSMUSG00000030468","SIGLEC11"
"Nkg7","ENSMUSG00000004612","NKG7"
"Etfb","ENSMUSG00000004610","ETFB"
"Vsig10l","ENSMUSG00000070604","VSIG10L"
"Zfp658","ENSMUSG00000056592","Zfp658"
"Zfp719","ENSMUSG00000030469","Zfp719"
"Zfp819","ENSMUSG00000055102","Zfp819"
"Ctu1","ENSMUSG00000038888","CTU1"
"Klk14","ENSMUSG00000044737","KLK14"
"Klk8","ENSMUSG00000064023","KLK8"
"Klk1b3","ENSMUSG00000066515","Klk1b3"
"Klk1b4","ENSMUSG00000066513","Klk1b4"
"Klk1","ENSMUSG00000063903","KLK2"
"2410002F23Rik","ENSMUSG00000045411","2410002F23Rik"
"Gm15517","ENSMUSG00000087376","Gm15517"
"Shank1","ENSMUSG00000038738","SHANK1"
"Syt3","ENSMUSG00000030731","SYT3"
"Lrrc4b","ENSMUSG00000047085","LRRC4B"
"Josd2","ENSMUSG00000038695","JOSD2"
"5430431A17Rik","ENSMUSG00000108322","5430431A17Rik"
"Fam71e1","ENSMUSG00000051113","FAM71E1"
"Gm44646","ENSMUSG00000108607","Gm44646"
"Napsa","ENSMUSG00000002204","NAPSA"
"Kcnc3","ENSMUSG00000062785","KCNC3"
"2310016G11Rik","ENSMUSG00000070574","2310016G11Rik"
"Vrk3","ENSMUSG00000002205","VRK3"
"Nup62","ENSMUSG00000109511","NUP62"
"Il4i1","ENSMUSG00000074141","IL4I1"
"Akt1s1","ENSMUSG00000011096","AKT1S1"
"Pnkp","ENSMUSG00000002963","PNKP"
"Fuz","ENSMUSG00000011658","FUZ"
"6530437J22Rik","ENSMUSG00000109111","6530437J22Rik"
"Gm15545","ENSMUSG00000087138","Gm15545"
"Irf3","ENSMUSG00000003184","IRF3"
"Rras","ENSMUSG00000038387","RRAS"
"Nosip","ENSMUSG00000003421","NOSIP"
"Gm45669","ENSMUSG00000109947","Gm45669"
"Gm45552","ENSMUSG00000110279","Gm45552"
"Pih1d1","ENSMUSG00000003423","PIH1D1"
"Slc17a7","ENSMUSG00000070570","SLC17A7"
"Tead2","ENSMUSG00000030796","TEAD2"
"Slc6a16","ENSMUSG00000094152","SLC6A16"
"Hrc","ENSMUSG00000038239","HRC"
"Mtag2","ENSMUSG00000091510","Mtag2"
"Gm45619","ENSMUSG00000110070","Gm45619"
"Kcna7","ENSMUSG00000038201","KCNA7"
"Ntf5","ENSMUSG00000074121","NTF4"
"Gys1","ENSMUSG00000003865","GYS1"
"Tulp2","ENSMUSG00000023467","TULP2"
"Plekha4","ENSMUSG00000040428","PLEKHA4"
"Hsd17b14","ENSMUSG00000030825","HSD17B14"
"Bcat2","ENSMUSG00000030826","BCAT2"
"Gm31479","ENSMUSG00000109632","Gm31479"
"Fut1","ENSMUSG00000008461","FUT1"
"Izumo1","ENSMUSG00000064158","IZUMO1"
"Rasip1","ENSMUSG00000044562","RASIP1"
"Mamstr","ENSMUSG00000042918","MAMSTR"
"Ntn5","ENSMUSG00000070564","NTN5"
"Car11","ENSMUSG00000003273","CA11"
"Dbp","ENSMUSG00000059824","DBP"
"Rpl18","ENSMUSG00000059070","RPL18"
"Fam83e","ENSMUSG00000054161","FAM83E"
"Gm31597","ENSMUSG00000109602","Gm31597"
"Lmtk3","ENSMUSG00000062044","LMTK3"
"Gm45441","ENSMUSG00000110020","Gm45441"
"Kdelr1","ENSMUSG00000002778","KDELR1"
"Tmem143","ENSMUSG00000002781","TMEM143"
"Ccdc114","ENSMUSG00000040189","Ccdc114"
"Nomo1","ENSMUSG00000030835","NOMO3"
"Gm45486","ENSMUSG00000110240","Gm45486"
"Kcnc1","ENSMUSG00000058975","KCNC1"
"Saa2","ENSMUSG00000057465","Saa2"
"Gtf2h1","ENSMUSG00000006599","GTF2H1"
"Ldha","ENSMUSG00000063229","Ldha"
"Gm9999","ENSMUSG00000056509","Gm9999"
"Gm32031","ENSMUSG00000109118","Gm32031"
"Tmem86a","ENSMUSG00000010307","TMEM86A"
"Gm14377","ENSMUSG00000109501","Gm14377"
"Zdhhc13","ENSMUSG00000030471","ZDHHC13"
"Gm2788","ENSMUSG00000085995","Gm2788"
"Nav2","ENSMUSG00000052512","NAV2"
"Htatip2","ENSMUSG00000039745","HTATIP2"
"Prmt3","ENSMUSG00000030505","PRMT3"
"Slc6a5","ENSMUSG00000039728","SLC6A5"
"Nell1","ENSMUSG00000055409","NELL1"
"Slc17a6","ENSMUSG00000030500","SLC17A6"
"Gm45235","ENSMUSG00000108957","Gm45235"
"Gas2","ENSMUSG00000030498","GAS2"
"Luzp2","ENSMUSG00000063297","LUZP2"
"Tubgcp5","ENSMUSG00000033790","TUBGCP5"
"Cyfip1","ENSMUSG00000030447","CYFIP1"
"A230056P14Rik","ENSMUSG00000087178","A230056P14Rik"
"Herc2","ENSMUSG00000030451","HERC2"
"Gabrb3","ENSMUSG00000033676","GABRB3"
"Atp10a","ENSMUSG00000025324","ATP10A"
"Ube3a","ENSMUSG00000025326","UBE3A"
"Ndn","ENSMUSG00000033585","NDN"
"Magel2","ENSMUSG00000056972","MAGEL2"
"Otud7a","ENSMUSG00000033510","OTUD7A"
"Gm27252","ENSMUSG00000098708","Gm27252"
"E030018B13Rik","ENSMUSG00000095061","E030018B13Rik"
"Mtmr10","ENSMUSG00000030522","MTMR10"
"Mcee","ENSMUSG00000033429","MCEE"
"Apba2","ENSMUSG00000030519","APBA2"
"Tarsl2","ENSMUSG00000030515","TARS3"
"Tm2d3","ENSMUSG00000078681","TM2D3"
"1810008I18Rik","ENSMUSG00000100094","1810008I18Rik"
"Pcsk6","ENSMUSG00000030513","PCSK6"
"Snrpa1","ENSMUSG00000030512","SNRPA1"
"Selenos","ENSMUSG00000075701","SELENOS"
"Chsy1","ENSMUSG00000032640","CHSY1"
"Gm44752","ENSMUSG00000109119","Gm44752"
"Lins1","ENSMUSG00000053091","LINS1"
"Cers3","ENSMUSG00000030510","CERS3"
"Adamts17","ENSMUSG00000058145","ADAMTS17"
"Lysmd4","ENSMUSG00000043831","LYSMD4"
"Ttc23","ENSMUSG00000030555","TTC23"
"Igf1r","ENSMUSG00000005533","IGF1R"
"Fam169b","ENSMUSG00000074071","Fam169b"
"B130024G19Rik","ENSMUSG00000100005","B130024G19Rik"
"Gm35842","ENSMUSG00000109028","Gm35842"
"Rgma","ENSMUSG00000070509","RGMA"
"Gm44686","ENSMUSG00000108563","Gm44686"
"Fam174b","ENSMUSG00000078670","FAM174B"
"Gm21269","ENSMUSG00000108448","Gm21269"
"Akap13","ENSMUSG00000066406","AKAP13"
"Klhl25","ENSMUSG00000055652","KLHL25"
"Gm9885","ENSMUSG00000052629","Gm9885"
"Mrps11","ENSMUSG00000030611","MRPS11"
"5330411O13Rik","ENSMUSG00000108603","5330411O13Rik"
"1700011D18Rik","ENSMUSG00000108791","1700011D18Rik"
"Aen","ENSMUSG00000030609","AEN"
"Isg20","ENSMUSG00000039236","ISG20"
"Abhd2","ENSMUSG00000039202","ABHD2"
"Fanci","ENSMUSG00000039187","FANCI"
"Ticrr","ENSMUSG00000046591","TICRR"
"9330171B17Rik","ENSMUSG00000039133","9330171B17Rik"
"Gm44706","ENSMUSG00000108425","Gm44706"
"Wdr93","ENSMUSG00000039099","WDR93"
"Mesp2","ENSMUSG00000030543","MESP2"
"Gm26646","ENSMUSG00000097685","Gm26646"
"5430400D12Rik","ENSMUSG00000097699","5430400D12Rik"
"Zfp710","ENSMUSG00000048897","Zfp710"
"Sema4b","ENSMUSG00000030539","SEMA4B"
"Gdpgp1","ENSMUSG00000050973","GDPGP1"
"Ttll13","ENSMUSG00000045467","TTLL13P"
"Ngrn","ENSMUSG00000047084","NGRN"
"Vps33b","ENSMUSG00000030534","VPS33B"
"Prc1","ENSMUSG00000038943","PRC1"
"Hddc3","ENSMUSG00000030532","HDDC3"
"Gm44851","ENSMUSG00000108436","Gm44851"
"Gm15880","ENSMUSG00000084821","Gm15880"
"Gm44649","ENSMUSG00000108321","Gm44649"
"Zscan2","ENSMUSG00000038797","ZSCAN2"
"Zfp592","ENSMUSG00000005621","ZNF592"
"Alpk3","ENSMUSG00000038763","ALPK3"
"Slc28a1","ENSMUSG00000025726","SLC28A1"
"Pde8a","ENSMUSG00000025584","PDE8A"
"2900076A07Rik","ENSMUSG00000097277","2900076A07Rik"
"Whamm","ENSMUSG00000045795","WHAMM"
"Ramac","ENSMUSG00000038646","Ramac"
"Gm45016","ENSMUSG00000109485","Gm45016"
"Tm6sf1","ENSMUSG00000038623","TM6SF1"
"Sh3gl3","ENSMUSG00000030638","SH3GL3"
"Adamtsl3","ENSMUSG00000070469","ADAMTSL3"
"Efl1","ENSMUSG00000038563","EFL1"
"Mex3b","ENSMUSG00000057706","MEX3B"
"Gm44991","ENSMUSG00000109042","Gm44991"
"Tmc3","ENSMUSG00000038540","TMC3"
"Stard5","ENSMUSG00000046027","STARD5"
"Mesd","ENSMUSG00000038503","MESD"
"Gm26708","ENSMUSG00000097016","Gm26708"
"Gm30873","ENSMUSG00000109341","Gm30873"
"Gm2115","ENSMUSG00000097789","CTXND1"
"2610206C17Rik","ENSMUSG00000085236","2610206C17Rik"
"Vmn2r78","ENSMUSG00000091962","Vmn2r78"
"Nox4","ENSMUSG00000030562","NOX4"
"Grm5","ENSMUSG00000049583","GRM5"
"Ctsc","ENSMUSG00000030560","CTSC"
"Gm44751","ENSMUSG00000109244","Gm44751"
"Rab38","ENSMUSG00000030559","RAB38"
"Gm44995","ENSMUSG00000109327","Gm44995"
"Fzd4","ENSMUSG00000049791","FZD4"
"Prss23os","ENSMUSG00000030623","Prss23os"
"Me3","ENSMUSG00000030621","ME3"
"E230029C05Rik","ENSMUSG00000097585","E230029C05Rik"
"Picalm","ENSMUSG00000039361","PICALM"
"Sytl2","ENSMUSG00000030616","SYTL2"
"Ccdc89","ENSMUSG00000044362","CCDC89"
"Crebzf","ENSMUSG00000051451","CREBZF"
"Dlg2","ENSMUSG00000052572","DLG2"
"Gm45159","ENSMUSG00000109125","Gm45159"
"Ccdc90b","ENSMUSG00000030613","CCDC90B"
"Gm26944","ENSMUSG00000098066","Gm26944"
"Gm26981","ENSMUSG00000098041","Gm26981"
"Rab30","ENSMUSG00000030643","RAB30"
"Prcp","ENSMUSG00000061119","PRCP"
"Gm26862","ENSMUSG00000097644","Gm26862"
"Tenm4","ENSMUSG00000048078","TENM4"
"Nars2","ENSMUSG00000018995","NARS2"
"Gab2","ENSMUSG00000004508","GAB2"
"Kctd21","ENSMUSG00000044952","KCTD21"
"Alg8","ENSMUSG00000035704","ALG8"
"Ndufc2","ENSMUSG00000030647","NDUFC2-KCTD14"
"Kctd14","ENSMUSG00000051727","KCTD14"
"Ints4","ENSMUSG00000025133","INTS4"
"Rsf1","ENSMUSG00000035623","RSF1"
"Clns1a","ENSMUSG00000025439","CLNS1A"
"Pak1","ENSMUSG00000030774","PAK1"
"Lrrc32","ENSMUSG00000090958","LRRC32"
"Thap12","ENSMUSG00000030753","Thap12"
"Wnt11","ENSMUSG00000015957","WNT11"
"Gm45188","ENSMUSG00000109282","Gm45188"
"Gm45187","ENSMUSG00000109130","Gm45187"
"Map6","ENSMUSG00000055407","MAP6"
"Gdpd5","ENSMUSG00000035314","GDPD5"
"Klhl35","ENSMUSG00000035298","KLHL35"
"Arrb1","ENSMUSG00000018909","ARRB1"
"Gm15635","ENSMUSG00000085095","Gm15635"
"Xrra1","ENSMUSG00000035211","XRRA1"
"Lipt2","ENSMUSG00000030725","LIPT2"
"Kcne3","ENSMUSG00000035165","KCNE3"
"Pgm2l1","ENSMUSG00000030729","PGM2L1"
"P4ha3","ENSMUSG00000051048","P4HA3"
"C2cd3","ENSMUSG00000047248","C2CD3"
"Ucp3","ENSMUSG00000032942","UCP3"
"Ucp2","ENSMUSG00000033685","UCP2"
"Coa4","ENSMUSG00000044881","COA4"
"Rab6a","ENSMUSG00000030704","RAB6A"
"Gm35082","ENSMUSG00000108866","Gm35082"
"Fam168a","ENSMUSG00000029461","FAM168A"
"Fchsd2","ENSMUSG00000030691","FCHSD2"
"Stard10","ENSMUSG00000030688","STARD10"
"Arap1","ENSMUSG00000032812","ARAP1"
"Pde2a","ENSMUSG00000110195","PDE2A"
"Clpb","ENSMUSG00000001829","CLPB"
"Phox2a","ENSMUSG00000007946","PHOX2A"
